"","neutral_082.jpg","neutral_106.jpg","neutral_117.jpg","neutral_124.jpg","neutral_156.jpg","neutral_186.jpg","neutral_191.jpg","neutral_199.jpg","neutral_2200.jpg","neutral_2305.jpg","neutral_2393.jpg","neutral_2394.jpg","neutral_2442.jpg","neutral_2745.1.jpg","neutral_J2.jpg","neutral_N01.bmp","neutral_N12.bmp","neutral_N13.bmp","neutral_N17.bmp","neutral_N22.bmp","neutral_N33.bmp","neutral_N34.bmp","neutral_n5.jpg","neutral_NF1.jpg","neutral_S5.jpg"
"neutral_082.jpg",0,1,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0
"neutral_106.jpg",1,0,0,1,0,0,0,0,1,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"neutral_117.jpg",0,0,0,0,0,0,0,0,0.666666666666667,0.5,0,1,1,0,0.5,0,0,0,0,0,0,0,0,1,0
"neutral_124.jpg",0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.666666666666667,0,1,1,0,1,0,0,1
"neutral_156.jpg",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"neutral_186.jpg",0.333333333333333,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,1,0.5,1,0,0,0,0,0,0,1
"neutral_191.jpg",0,0,0,0,1,0.5,0,0,0,0,0,0.666666666666667,0,0,1,0,0,1,0.333333333333333,0,0.333333333333333,0,0,1,0
"neutral_199.jpg",0,0,0,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_2200.jpg",0,1,0.666666666666667,0,0,0,0,0,0,0,0,1,0,0.5,1,0,0,0,0,0,0,0,0,0.5,0
"neutral_2305.jpg",0.333333333333333,0.5,0.5,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
"neutral_2393.jpg",0,0,0,0,0,0,0,1,0,0,0,1,0,0.5,0,0,0,0,0.333333333333333,0,0,0,0,0,1
"neutral_2394.jpg",0,1,1,0,0,0,0.666666666666667,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0.5,0,0.5,1
"neutral_2442.jpg",0,1,1,0,0,0,0,0,0,1,0,0,0,0.5,1,0,0,0,0,1,0,0,1,0,0
"neutral_2745.1.jpg",0,0,0,0,0,0,0,0,0.5,0,0.5,1,0.5,0,1,0,0,0,0,0,0,0,0,0,0
"neutral_J2.jpg",0,0,0.5,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0.5,0
"neutral_N01.bmp",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0.5
"neutral_N12.bmp",0,0,0,0.666666666666667,1,0.5,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0.5
"neutral_N13.bmp",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"neutral_N17.bmp",0.5,0,0,1,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,1,1,0,0,1,1,0.5,0,0,0
"neutral_N22.bmp",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0
"neutral_N33.bmp",0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
"neutral_N34.bmp",0,0,0,1,1,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0.5,0,0,0,0,0,0
"neutral_n5.jpg",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"neutral_NF1.jpg",0,0,1,0,0,0,1,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0
"neutral_S5.jpg",0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0.5,0.5,0,0,0,1,0,0,0,0
