"","positive_012.jpg","positive_015.jpg","positive_041.jpg","positive_2217.jpg","positive_2300.jpg","positive_2304.jpg","positive_2306.jpg","positive_2391.jpg","positive_2395.jpg","positive_2550.jpg","positive_4598.jpg","positive_4689.jpg","positive_5628.jpg","positive_5830.jpg","positive_7499.jpg","positive_8300.jpg","positive_8470.jpg","positive_d6.jpg","positive_g6.jpg","positive_m9.jpg","positive_p1.jpg","positive_r4.jpg","positive_S22.jpg","positive_y5.jpg","positive_s5.jpg"
"positive_012.jpg",0,0,0,1,0,0,0,1,0.5,0,0,0,0,0,1,0.5,0,0,0,0,0,1,0,0,0
"positive_015.jpg",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0,0,1
"positive_041.jpg",0,0,0,0.5,0,0,0,0.666666666666667,1,0.333333333333333,0,0,0,0,0.666666666666667,0,0,1,0,0,1,0,0,0,0
"positive_2217.jpg",1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"positive_2300.jpg",0,0,0,1,0,0.75,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0
"positive_2304.jpg",0,0,0,0,0.75,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1
"positive_2306.jpg",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0.5,0,1,0.5
"positive_2391.jpg",1,0,0.666666666666667,0,0,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,0.666666666666667,1,1,0,0,0,1
"positive_2395.jpg",0.5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"positive_2550.jpg",0,0.5,0.333333333333333,0,0,0,0,1,1,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0.5,1,1
"positive_4598.jpg",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.5,0,1,0,0,0,0,0,0,0,1
"positive_4689.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0
"positive_5628.jpg",0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,1,1,0.5,1,0,0,0,0,0,0.333333333333333
"positive_5830.jpg",0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.333333333333333,0,0,1,0,1,0,0,1,0
"positive_7499.jpg",1,0,0.666666666666667,0,0.333333333333333,0,0.5,0,0,0,0.5,0.666666666666667,0,0,0,0.333333333333333,0,1,0,0,0,0.5,0,0,0.5
"positive_8300.jpg",0.5,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0.333333333333333,0,1,1,0,0,0.333333333333333,0.75,0,1,0
"positive_8470.jpg",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0.5,0,0
"positive_d6.jpg",0,0,1,0,0,0,0,0,1,0,0,0,0.5,0,1,1,1,0,0,0,0,1,0,0,0
"positive_g6.jpg",0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
"positive_m9.jpg",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"positive_p1.jpg",0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0.333333333333333,0,0,0,0,0,0,0,0,0
"positive_r4.jpg",1,0.333333333333333,0,1,0,0,0.5,0,0,0,0,0,0,0,0.5,0.75,0,1,1,0,0,0,1,0,0
"positive_S22.jpg",0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,1,0,1,0,0,0
"positive_y5.jpg",0,0,0,0,0,0.5,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"positive_s5.jpg",0,1,0,0,0,1,0.5,1,1,1,1,0,0.333333333333333,0,0.5,0,0,0,0,1,0,0,0,0,0
